id,URL,Feels Like,Wind Speed,Humidity,Dew Point,Visibility,Probability of Precipitation
1,https://www.timeanddate.com/weather/ghana/accra,30 °C,16 km/h,81%,23 °C,9 km,32%
2,https://www.timeanddate.com/weather/ireland/dublin,14 °C,15 km/h,93%,13 °C,5 km,27%
3,https://www.timeanddate.com/weather/kenya/nairobi,26 °C,6 km/h,40%,11 °C,11 km,3%
4,https://www.timeanddate.com/weather/ethiopia/addis-ababa,20 °C,29 km/h,55%,10 °C,12 km,31%
5,https://www.timeanddate.com/weather/canada/edmonton,7 °C,12 km/h,77%,5 °C,11 km,0%
6,https://www.timeanddate.com/weather/bahamas/nassau,31 °C,7 km/h,78%,24 °C,13 km,0%
7,https://www.timeanddate.com/weather/australia/adelaide,12 °C,5 km/h,93%,11 °C,10 km,0%
8,https://www.timeanddate.com/weather/germany/frankfurt,25 °C,5 km/h,57%,15 °C,14 km,0%
9,https://www.timeanddate.com/weather/india/new-delhi,42 °C,9 km/h,56%,24 °C,13 km,5%
10,https://www.timeanddate.com/weather/algeria/algiers,24 °C,7 km/h,76%,19 °C,11 km,2%
11,https://www.timeanddate.com/weather/guatemala/guatemala,17 °C,1 km/h,87%,15 °C,5 km,50%
12,https://www.timeanddate.com/weather/usa/new-orleans,25 °C,6 km/h,90%,23 °C,11 km,0%
13,https://www.timeanddate.com/weather/kazakstan/almaty,25 °C,2 km/h,41%,10 °C,11 km,0%
14,https://www.timeanddate.com/weather/canada/halifax,11 °C,22 km/h,81%,10 °C,12 km,0%
15,https://www.timeanddate.com/weather/usa/new-york,18 °C,15 km/h,67%,12 °C,14 km,0%
16,https://www.timeanddate.com/weather/jordan/amman,26 °C,29 km/h,48%,14 °C,13 km,23%
17,https://www.timeanddate.com/weather/vietnam/hanoi,28 °C,14 km/h,82%,23 °C,6 km,75%
18,https://www.timeanddate.com/weather/norway/oslo,16 °C,12 km/h,70%,10 °C,13 km,10%
19,https://www.timeanddate.com/weather/netherlands/amsterdam,25 °C,9 km/h,58%,14 °C,13 km,0%
20,https://www.timeanddate.com/weather/zimbabwe/harare,26 °C,16 km/h,37%,10 °C,11 km,0%
21,https://www.timeanddate.com/weather/canada/ottawa,16 °C,11 km/h,80%,12 °C,11 km,0%
22,https://www.timeanddate.com/weather/russia/anadyr,6 °C,2 km/h,84%,4 °C,10 km,0%
23,https://www.timeanddate.com/weather/cuba/havana,29 °C,8 km/h,84%,23 °C,11 km,28%
24,https://www.timeanddate.com/weather/france/paris,20 °C,11 km/h,76%,15 °C,10 km,40%
25,https://www.timeanddate.com/weather/usa/anchorage,4 °C,6 km/h,79%,2 °C,11 km,0%
26,https://www.timeanddate.com/weather/finland/helsinki,10 °C,4 km/h,52%,1 °C,12 km,0%
27,https://www.timeanddate.com/weather/australia/perth,16 °C,18 km/h,73%,11 °C,11 km,0%
